code_m,name_m,code_s,name_s,code_ss,name_ss
,,50000565,머플러,50004016,넥타이핀
,,50000566,넥워머,,
,,50000567,숄,,
,,50000568,넥케이프,,
,,50000569,행커치프,,
,,50001482,우산,50004017,수동우산
,,,,50004018,자동우산
,,50001483,양산,50004019,수동양산
,,,,50004020,자동양산
,,50001484,스타킹,50004021,발목스타킹
,,,,50004022,판타롱스타킹
,,,,50004023,밴드스타킹
,,,,50004024,팬티스타킹
,,,,50004025,압박보정스타킹
,,,,50004026,스프레이스타킹
,,50001485,브로치,50004027,보석브로치
,,,,50004028,패션브로치
,,,,50004029,카네이션브로치
,,50000571,부채,,
,,50000572,와펜,,
,,50000573,코르사주,,
,,50000574,한복소품,,
,,50001486,라이터/담배용품,50004137,라이터
,,,,50004138,담배케이스
,,,,50004139,기타담배용품
,,50000570,키홀더,,
,,50000434,기타패션소품,,
50000189,주얼리,50001489,반지,50004148,다이아몬드반지
,,,,50004149,14K반지
,,,,50004150,18K반지
,,,,50004151,순금반지
,,,,50004152,은반지
,,,,50004153,유색보석반지
,,,,50004154,진주반지
,,,,50004155,패션반지
,,,,50004156,이니셜반지
,,,,50006870,반지만들기
,,50001490,귀걸이,50004157,다이아몬드귀걸이
,,,,50004158,14K귀걸이
,,,,50004159,18K귀걸이
,,,,50004160,순금귀걸이
,,,,50004161,은귀걸이
,,,,50004162,유색보석귀걸이
,,,,50004163,진주귀걸이
,,,,50004164,패션귀걸이
,,,,50004165,이니셜귀걸이
,,,,50004166,피어싱
,,,,50006873,귀걸이만들기
,,50001491,목걸이,50004167,다이아몬드목걸이
,,,,50004168,14K목걸이
,,,,50004169,18K목걸이
,,,,50004170,순금목걸이
,,,,50004171,은목걸이
,,,,50004172,유색보석목걸이
,,,,50004173,진주목걸이
,,,,50004174,패션목걸이
,,,,50004175,이니셜목걸이
,,,,50006871,목걸이만들기
,,50001492,펜던트,50004176,금펜던트
,,,,50004177,은펜던트
,,,,50004179,패션펜던트
,,,,50004178,유색보석펜던트
,,,,50006170,순금펜던트
,,50001493,주얼리세트,50004180,다이아몬드세트
,,,,50004181,14K세트
,,,,50004182,18K세트
,,,,50004183,은세트
,,,,50004184,유색보석세트
,,,,50004185,진주세트
,,,,50004186,패션주얼리세트
,,,,50006171,순금주얼리세트
,,50001494,주얼리소품,50004187,보관함/케이스
,,,,50004188,진열대
,,,,50004189,세척용품
,,,,50006910,기타주얼리소품
,,50001495,팔찌,50004192,금팔찌
,,,,50004193,은팔찌
,,,,50004194,패션팔찌
,,,,50006169,순금팔찌
,,,,50006872,팔찌만들기
,,50006174,발찌,50006175,패션발찌
,,,,50006176,순금발찌
50000188,순금,50000432,골드바,,
,,50006911,실버바,,
,,50000433,순금기념품,,
50000182,장갑,50000551,여성장갑,,
,,50000552,남성장갑,,
,,50000553,암워머/토시,,
50000180,벨트,50000539,여성벨트,,
,,50001473,남성벨트,50003988,정장벨트
,,,,50003989,캐주얼벨트
,,50000540,멜빵,,
50000166,양말,50001476,여성양말,50003994,덧신
,,,,50003995,발목양말
,,,,50003996,중목/장목양말
,,,,50003997,니삭스
,,,,50003998,스포츠양말
,,,,50003999,발가락양말
,,,,50004000,수면양말
,,,,50004001,레그워머
,,50001477,남성양말,50004002,발목양말
,,,,50004003,중목/장목양말
,,,,50004004,스포츠양말
,,,,50004005,발가락양말
,,,,50004006,수면양말
,,,,50004007,레그워머
50000183,선글라스/안경테,50000554,선글라스,,
,,50000555,선글라스 케이스/소품,,
,,50000556,안경테,,
,,50000557,안경케이스,,
,,50000558,안경소품,,
,,50000559,안경줄,,
50000186,시계,50000425,커플시계,,
,,50000426,아동시계,,
,,50000435,시계수리용품,,
,,50001487,패션시계,50004140,가죽밴드시계
,,,,50004141,메탈밴드시계
,,,,50004142,금시계
,,,,50004143,뱅글/팔찌형시계
,,,,50004144,젤리/우레탄밴드시계
,,,,50006188,기타밴드시계
,,,,50004145,회중시계
,,,,50005245,스톱워치
,,50001488,시계소품,50004146,시계줄
,,,,50004147,시계보관함
,,,,50006913,보호필름
50000190,스킨케어,50000437,스킨/토너,,
,,50000438,로션,,
,,50000439,에센스,,
,,50000440,크림,,
,,50000441,아이케어,,
,,50000442,미스트,,
,,50000443,페이스오일,,
,,50000444,화장품세트,,
,,50000342,넥케어,,
50000191,선케어,50000445,선크림,,
,,50000446,선스프레이,,
,,50000447,선스틱,,
,,50000448,선파우더/쿠션,,
,,50001496,태닝,50004195,태닝스프레이
,,,,50004403,태닝오일
,,,,50004404,태닝크림
,,,,50004641,태닝티슈
,,50000449,애프터선,,
,,50000450,선케어세트,,
50000192,클렌징,50000451,클렌징폼,,
,,50000452,클렌징오일,,
,,50000453,클렌징크림,,
,,50000454,클렌징로션,,
,,50000455,클렌징젤,,
,,50000456,클렌징워터,,
,,50000457,클렌징티슈,,
,,50000458,클렌징비누,,
,,50000459,클렌징파우더,,
,,50000460,립앤아이리무버,,
,,50000461,스크럽/필링,,
,,50000462,클렌징세트,,
50000194,베이스메이크업,50000470,BB크림,,
,,50000471,CC크림,,
,,50000472,프라이머,,
,,50000345,메이크업베이스,,
,,50001369,파우더,50004196,루스파우더
,,,,50004580,팩트파우더
,,50000346,트윈케이크,,
,,50001370,파운데이션,50004197,리퀴드형
,,,,50004581,스틱형
,,,,50004582,크림형
,,,,50005288,쿠션형
,,50000347,컨실러,,
