"","6:00","6:20","6:40","7:00","7:20","7:40","8:00","8:20","8:40","9:00","9:20","9:40","10:00","10:20","10:40","11:00","11:20","11:40","12:00","12:20","12:40","13:00","13:20","13:40","14:00","14:20","14:40","15:00","15:20","15:40","16:00","16:20","16:40","17:00","17:20","17:40","18:00","18:20","18:40","19:00","19:20","19:40","20:00","20:20","20:40","21:00","21:20","21:40","22:00","22:20","22:40","23:00","23:20","23:40","0:00","0:20","0:40","1:00","1:20","1:40","2:00","2:20","2:40","3:00","3:20","3:40","4:00","4:20","4:40","5:00","5:20","5:40"
"전체","2.6","3.2","4.1","11.6","12.2","11.9","15.0","15.5","14.3","16.2","16.1","16.3","14.2","13.5","12.1","9.6","9.5","9.0","6.5","6.3","6.1","5.0","4.8","4.2","6.2","6.3","6.1","9.3","9.5","9.3","10.1","10.1","9.4","10.6","10.7","10.5","16.1","16.4","16.8","26.3","27.7","28.5","37.4","39.1","38.8","45.7","45.6","44.2","37.0","36.1","34.0","20.4","20.1","18.6","5.9","5.9","5.4","2.5","2.0","2.1","1.7","1.4","1.2","0.4","0.0","0.0","0.2","0.2","0.2","0.1","0.1","0.2"
"10대","-","-","1.7","3.7","3.7","1.7","-","-","-","4.0","4.0","7.7","10.7","8.1","8.1","12.0","10.3","9.9","10.2","10.2","9.2","2.0","2.0","0.1","3.0","3.0","3.0","5.2","6.2","6.2","6.5","6.5","6.5","12.7","13.4","14.7","20.1","18.8","18.3","24.1","24.1","24.1","10.8","13.1","11.8","17.6","15.0","15.0","11.4","13.1","13.1","9.5","12.4","12.4","3.7","3.7","3.7","2.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"20대","-","-","0.4","6.3","7.8","10.6","9.8","9.6","6.5","12.7","12.0","11.3","15.5","14.8","12.7","5.8","6.3","6.7","4.7","3.8","3.8","0.2","0.2","-","4.5","4.5","4.5","8.2","8.2","8.7","8.6","8.6","8.6","7.4","6.7","7.9","5.8","5.1","6.7","11.1","14.9","14.9","17.8","17.8","17.8","29.2","28.1","27.7","35.3","33.4","31.1","28.8","28.2","22.6","5.0","5.0","3.6","3.9","3.7","4.9","4.5","4.5","4.5","1.2","-","-","-","-","-","-","-","-"
"30대","0.4","0.4","0.4","2.7","2.7","2.7","5.6","5.6","5.7","10.6","10.6","11.3","13.9","13.8","11.9","9.1","9.1","9.1","3.1","3.1","3.1","2.2","2.2","2.2","6.3","6.4","6.8","7.1","7.4","7.2","9.7","9.9","6.9","13.3","13.3","12.5","10.5","10.5","10.5","18.1","18.4","18.7","29.3","30.2","30.2","36.9","34.9","33.9","38.4","39.7","38.3","25.6","24.4","25.4","10.9","10.5","9.9","4.7","3.2","3.2","3.1","3.1","3.1","-","-","-","0.9","0.9","0.9","-","-","-"
"40대","1.1","1.9","5.2","8.0","8.5","7.1","15.1","16.2","13.6","15.5","17.6","17.0","12.1","12.1","10.4","6.4","6.4","6.0","6.6","5.8","4.8","5.9","5.9","4.7","4.2","4.2","4.3","6.0","6.3","6.1","9.7","9.7","9.4","10.6","10.6","9.4","12.7","13.2","14.6","25.0","25.0","25.8","36.2","38.5","40.5","50.5","54.8","53.6","48.6","47.6","45.1","27.6","28.0","24.0","6.5","6.5","5.7","1.2","1.2","1.2","-","-","-","0.7","-","-","-","-","-","-","-","-"
"50대","3.2","4.2","4.4","16.1","17.0","15.5","19.6","18.9","18.5","18.2","18.2","19.2","14.8","14.6","12.9","10.0","10.0","8.5","4.2","4.3","3.9","5.7","5.0","5.0","7.7","7.1","7.1","8.7","8.3","8.4","9.9","9.0","9.0","11.2","10.7","9.3","16.9","17.2","17.9","29.4","31.5","32.5","48.8","49.4","48.8","61.3","61.6","60.0","46.7","46.5","42.9","23.1","22.1","21.7","7.7","8.4","7.9","3.9","3.9","3.7","2.8","1.3","0.2","-","-","-","-","-","-","-","-","-"
"60대","4.0","5.7","7.0","18.9","19.8","20.0","26.9","27.8","26.7","23.3","22.7","21.2","16.0","15.8","14.3","10.7","10.7","9.8","6.2","5.9","6.6","6.6","5.8","5.8","5.5","5.8","5.4","12.6","13.4","12.4","13.1","13.2","13.2","7.0","8.5","9.1","18.8","19.0","18.1","36.0","37.5","38.7","50.5","54.2","53.1","61.7","61.0","57.4","39.8","37.0","35.3","14.8","14.0","13.3","3.9","3.9","3.7","0.9","0.9","0.9","0.8","0.8","0.8","0.6","-","-","-","-","-","-","-","-"
"70대","9.8","10.1","9.3","25.0","25.2","25.7","24.6","27.5","26.6","27.7","25.5","24.1","16.7","14.5","14.1","14.5","14.4","14.6","13.4","13.7","13.7","12.3","12.3","10.8","12.4","13.4","11.7","18.5","18.3","18.1","13.1","14.2","11.9","11.9","12.1","11.9","30.8","33.4","33.2","40.1","42.1","44.8","61.3","63.8","61.9","49.3","48.6","46.5","25.0","21.6","19.5","7.1","6.2","5.5","1.6","0.9","0.3","0.2","0.2","0.2","0.2","0.2","0.2","0.4","0.4","0.4","0.4","0.3","0.3","0.7","0.7","1.5"
