"","6:00","6:20","6:40","7:00","7:20","7:40","8:00","8:20","8:40","9:00","9:20","9:40","10:00","10:20","10:40","11:00","11:20","11:40","12:00","12:20","12:40","13:00","13:20","13:40","14:00","14:20","14:40","15:00","15:20","15:40","16:00","16:20","16:40","17:00","17:20","17:40","18:00","18:20","18:40","19:00","19:20","19:40","20:00","20:20","20:40","21:00","21:20","21:40","22:00","22:20","22:40","23:00","23:20","23:40","0:00","0:20","0:40","1:00","1:20","1:40","2:00","2:20","2:40","3:00","3:20","3:40","4:00","4:20","4:40","5:00","5:20","5:40"
"전체","2.8","3.5","4.0","11.2","12.1","11.2","14.2","14.9","14.0","13.8","13.3","12.2","8.5","8.3","7.8","5.2","5.0","4.7","4.5","4.6","4.1","3.6","3.5","3.1","3.6","3.9","3.7","5.7","5.8","5.7","4.9","5.0","5.0","5.8","6.0","5.7","9.5","10.1","10.4","17.2","18.5","18.9","32.8","35.0","35.2","46.5","46.8","45.6","40.1","40.0","37.9","23.7","22.1","20.3","7.3","6.8","6.0","1.8","1.6","1.4","0.4","0.4","0.4","0.2","0.2","0.2","0.1","0.1","0.1","0.2","0.3","0.3"
"10대","0.8","1.3","2.2","3.0","3.1","2.1","2.0","2.0","2.0","0.9","1.9","2.2","3.9","4.4","4.1","3.2","3.2","3.1","3.4","3.5","3.2","2.1","2.1","2.1","1.7","2.0","2.0","4.5","3.9","3.8","1.5","1.5","2.0","2.0","2.1","1.6","4.9","5.3","4.6","5.9","7.8","6.9","11.8","11.8","11.3","16.2","13.6","15.4","24.3","27.2","24.6","19.1","16.5","15.2","7.3","7.2","6.5","3.0","2.2","2.2","-","-","-","-","-","-","-","-","-","-","-","-"
"20대","0.2","0.4","0.1","1.9","2.7","3.0","3.7","4.3","3.7","3.9","3.7","2.8","4.5","4.3","4.1","3.2","2.9","2.4","2.0","2.0","1.7","1.3","1.4","1.2","1.0","1.2","1.2","1.7","1.7","1.7","0.7","0.6","0.6","2.1","2.0","1.5","4.2","4.6","4.6","9.3","9.4","10.1","17.4","18.7","17.0","29.9","30.3","29.9","30.0","30.6","28.1","21.4","20.5","18.8","9.9","10.1","8.1","3.6","3.4","2.8","1.2","1.2","1.1","-","-","-","-","-","-","-","-","-"
"30대","0.6","1.1","1.9","7.0","6.8","7.2","9.0","9.5","7.2","9.6","9.5","9.2","6.2","5.9","5.5","3.8","3.4","3.6","2.9","2.9","2.0","2.1","2.1","2.0","2.1","2.1","1.9","3.0","3.5","3.5","3.2","3.3","3.3","4.0","4.1","3.8","7.0","7.5","7.6","11.8","13.2","13.5","24.3","26.8","27.6","43.2","43.4","42.3","41.7","42.8","41.9","29.8","27.9","26.1","9.2","9.2","8.0","1.0","0.7","0.6","0.3","0.3","0.3","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5"
"40대","2.3","2.7","3.2","10.1","11.2","9.6","12.4","14.0","13.4","12.3","11.4","10.1","7.1","6.6","6.3","3.3","3.2","3.3","2.8","2.9","2.7","2.7","2.6","2.2","1.7","1.8","1.8","3.2","3.1","3.2","3.6","3.7","4.0","4.0","4.4","4.2","5.4","5.5","6.0","12.4","13.4","14.0","30.6","32.1","33.3","49.9","51.9","50.9","48.0","46.8","44.7","29.5","26.7","24.2","7.6","6.7","6.3","2.1","1.8","1.3","0.2","0.2","0.2","-","-","-","-","-","-","-","-","-"
"50대","3.1","3.7","4.2","15.3","17.1","14.6","17.5","16.7","16.4","14.3","14.1","13.0","8.0","8.0","7.1","4.9","4.3","3.9","5.0","5.1","4.7","4.2","3.9","3.6","3.9","3.8","3.8","6.5","6.5","6.3","4.9","4.9","4.8","6.6","6.7","6.5","8.8","9.4","9.7","17.2","18.1","18.7","37.2","40.5","41.4","55.9","57.4","56.8","50.9","50.8","47.9","27.7","26.6","24.2","7.2","6.0","5.3","1.1","1.0","1.0","0.2","0.2","0.3","0.4","0.7","0.4","0.0","0.0","0.0","0.0","0.0","0.0"
"60대","5.3","6.2","6.9","17.1","18.9","17.6","22.2","23.7","22.8","22.5","21.5","19.6","13.3","12.7","12.3","8.9","8.9","8.0","6.5","6.6","6.2","4.9","5.0","4.4","6.7","7.1","6.6","9.8","10.1","9.5","8.9","9.4","9.4","9.7","9.5","9.4","15.4","16.5","16.8","28.7","30.5","30.6","49.9","52.9","53.2","61.9","61.4","58.2","41.5","40.9","38.6","17.4","16.6","15.2","4.9","4.0","3.8","1.8","1.8","1.5","0.8","0.7","0.5","0.2","0.2","0.2","0.3","0.3","0.3","0.3","0.5","0.5"
"70대","9.3","11.5","12.1","26.9","27.2","27.3","36.3","38.4","36.6","37.3","35.9","32.9","20.1","19.7","19.2","12.0","12.0","11.7","11.7","12.0","11.4","9.4","9.5","8.3","11.5","12.6","12.2","16.1","16.3","15.7","14.6","14.2","13.9","15.2","15.8","15.5","27.6","29.4","30.7","42.9","45.6","46.6","62.8","66.0","65.5","59.6","57.5","53.7","29.3","27.0","25.3","10.0","9.4","8.6","2.3","2.2","1.9","0.5","0.6","0.5","0.2","0.2","0.2","0.0","0.0","0.0","0.3","0.3","0.3","1.0","1.2","1.1"
